# VELOCITY:     AVE_POFV:        ERROR:
     3.33333    0.136793   0.0140632
         3.6   0.0637525  0.00938895
     3.86667   0.0221354  0.00589356
     4.13333   0.0191716  0.00459192
         4.4  0.00827133  0.00222047
     4.66667  0.00127728 0.000560662
     4.93333  0.00124008  0.00096987
         5.2 0.000768849 0.000497999
     5.46667  0.00031002 0.000304433
     5.73333 0.000198413 0.000194837
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0161758  0.00409253
         0.4   0.0664272  0.00800264
    0.666667    0.141272  0.00930691
    0.933333    0.225946   0.0149928
         1.2     0.34715   0.0218163
     1.46667    0.413015   0.0204722
     1.73333    0.471252   0.0210347
           2    0.458094   0.0139057
     2.26667    0.386997   0.0109073
     2.53333    0.431489   0.0609249
         2.8    0.310321   0.0152877
     3.06667    0.226485   0.0193364
     3.33333    0.133669    0.013921
         3.6   0.0689775   0.0104181
     3.86667   0.0221384  0.00569034
     4.13333   0.0189416  0.00443934
         4.4  0.00798611  0.00216215
     4.66667  0.00123324 0.000543056
     4.93333  0.00119732 0.000937369
         5.2 0.000742337 0.000481532
     5.46667  0.00029933 0.000294123
     5.73333 0.000191571 0.000188239
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0156366  0.00399148
         0.4   0.0671991  0.00777302
    0.666667    0.140648  0.00901753
    0.933333    0.229097   0.0148205
         1.2    0.356042   0.0228291
     1.46667    0.415949    0.019999
     1.73333    0.472512   0.0203712
           2    0.456609   0.0135213
     2.26667    0.385752   0.0106145
     2.53333     0.42441    0.059304
         2.8     0.30603   0.0153684
     3.06667    0.224606   0.0187828
     3.33333    0.130914   0.0137267
         3.6   0.0721528   0.0105436
     3.86667   0.0228704  0.00554754
     4.13333   0.0183102  0.00433603
         4.4  0.00771991   0.0021064
     4.66667  0.00119213 0.000526508
     4.93333  0.00115741 0.000906972
         5.2 0.000717593 0.000466116
     5.46667 0.000289352 0.000284488
     5.73333 0.000185185 0.000182073
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0151322  0.00389446
         0.4     0.06847  0.00762547
    0.666667    0.140793  0.00872781
    0.933333    0.234442   0.0152759
         1.2    0.362668   0.0230343
     1.46667    0.416308   0.0193571
     1.73333    0.474899   0.0198535
           2    0.455018   0.0131784
     2.26667    0.385786   0.0102722
     2.53333    0.416028   0.0579802
         2.8    0.304671   0.0149327
     3.06667    0.220677   0.0185835
     3.33333    0.127811   0.0136301
         3.6   0.0741263   0.0103866
     3.86667   0.0237007  0.00543037
     4.13333   0.0179772  0.00420893
         4.4  0.00806452  0.00206645
     4.66667  0.00115367 0.000510926
     4.93333  0.00112007 0.000878483
         5.2 0.000694444 0.000451654
     5.46667 0.000280018 0.000275464
     5.73333 0.000179211 0.000176297
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0146593  0.00380136
         0.4   0.0688043  0.00739449
    0.666667    0.142133  0.00855735
    0.933333    0.240224   0.0158548
         1.2    0.366233   0.0225886
     1.46667     0.42028   0.0191553
